id;nome;descricao;icone_url;ativo;criado
1;Corporate;Account Bouvet reboot;Alameda e-enable;false;2021-05-31T21:38:20
2;Fantástico feed;SSL;multimedia sticky;false;2021-05-31T18:25:57
3;optical grid-enabled;24 utilize Dinar;responsive metrics;false;2021-06-01T01:09:30
4;Director;Internal Coordinator;Administrator;true;2021-06-01T00:51:24
5;Peixe Plástico facilitate;Account Avenida clicks-and-mortar;productize Platinum JSON;true;2021-05-31T11:51:08
6;online Yen FTP;wireless Stand-alone;facilitate Senior Global;true;2021-06-01T03:14:16
7;Cambridgeshire Roupas;Account;SMTP São;false;2021-06-01T03:57:57
8;Peixe;Customer;deposit input Madeira;true;2021-05-31T21:28:04
9;radical;Avenida envisioneer neural;Ferramentas;true;2021-06-01T08:49:33
10;Representative monetize copy;JSON national;multi-state Música incentivize;true;2021-06-01T04:27:46
