id;nome;cnpj;porte;criado
1;EXE index clicks-and-mortar;Alameda parse;circuit override;2021-05-31T22:15:05
2;zero;Genérico utilisation;Metrics back-end;2021-05-31T15:10:47
3;Congelado;Sapatos SSL;Mato Architect auxiliary;2021-06-01T00:46:01
4;Toalhas invoice Internal;Quality violeta;Borders digital Assistant;2021-05-31T16:42:48
5;navigate;Granito driver;Metal;2021-05-31T19:23:23
6;Pernambuco array;Pará Andorra;markets Nuevo deposit;2021-05-31T16:54:45
7;withdrawal Gostoso;1080p override Universal;bandwidth dedicated;2021-06-01T10:20:26
8;Borders Argentina;synergy Gerais e-tailers;Rua Licenciado;2021-05-31T16:14:43
9;infrastructure;Azerbaijanian;success;2021-05-31T14:34:30
10;Alameda;deliverables haptic Jóias;Pizza withdrawal;2021-05-31T21:35:36
