id;empresa;cargo;segmento;porte;inicio;fim;descricao_atividade;salario;beneficios;criado
1;leverage;Functionality user-centric Rua;networks Roraima B2B;Direct;2021-06-01;2021-05-31;../fake-data/blob/hipster.txt;87214;26915;2021-06-01T09:57:34
2;JBOD;Personal;Kroon;circuit;2021-05-31;2021-05-31;../fake-data/blob/hipster.txt;56584;1379;2021-06-01T09:14:35
3;Eritreia;Marginal Rial robust;à responsive;Pa'anga Salada;2021-06-01;2021-05-31;../fake-data/blob/hipster.txt;35807;780;2021-06-01T06:16:04
4;mindshare Colon;Saudita;Luvas;hybrid;2021-05-31;2021-06-01;../fake-data/blob/hipster.txt;43537;98738;2021-05-31T15:23:15
5;Pará;Virgens withdrawal drive;cinza coral invoice;redefine;2021-06-01;2021-05-31;../fake-data/blob/hipster.txt;74521;93000;2021-05-31T14:37:52
6;connect enable;Paraíba;application;Roupas bypass;2021-06-01;2021-06-01;../fake-data/blob/hipster.txt;62426;90204;2021-05-31T14:06:45
7;reintermediate;Concreto;background;Travessa Diverse;2021-06-01;2021-05-31;../fake-data/blob/hipster.txt;35006;28435;2021-06-01T09:57:15
8;integrate;Avon;extend;User bypass;2021-05-31;2021-05-31;../fake-data/blob/hipster.txt;34384;11307;2021-06-01T07:19:50
9;Franc;multi-byte mindshare Marginal;Checking budgetary Taka;Toalhas Bebê;2021-05-31;2021-05-31;../fake-data/blob/hipster.txt;45162;99674;2021-06-01T01:40:47
10;Global scalable Crianças;Account parse Avenida;Queijo;enterprise Berkshire digital;2021-05-31;2021-06-01;../fake-data/blob/hipster.txt;254;33734;2021-06-01T03:34:11
