id;nome;nivel;criado
1;Decentralized Digitized multi-state;ESCRITA;2021-06-01T05:44:48
2;Sapatos;CONVERSACAO;2021-05-31T17:38:34
3;quantify Loan National;LEITURA;2021-05-31T16:14:40
4;Gerais Toalhas Borracha;ESCRITA;2021-05-31T12:05:33
5;Beleza Quality Bacon;CONVERSACAO;2021-06-01T07:12:18
6;Eletrônicos Loan;ESCRITA;2021-05-31T11:59:03
7;Regional Ceará applications;ESCRITA;2021-06-01T09:39:58
8;Programmable HDD;ESCRITA;2021-05-31T12:46:05
9;driver navigating;ESCRITA;2021-05-31T23:02:40
10;Ceará Ferramentas;CONVERSACAO;2021-06-01T08:50:54
