id;estagio;procurando_emprego;objetivos_pessoais;pretensao_salarial;criado
1;false;false;../fake-data/blob/hipster.txt;83115;2021-06-01T05:55:03
2;false;true;../fake-data/blob/hipster.txt;17381;2021-05-31T14:12:22
3;true;true;../fake-data/blob/hipster.txt;44204;2021-05-31T17:57:53
4;false;false;../fake-data/blob/hipster.txt;6935;2021-05-31T14:28:55
5;false;true;../fake-data/blob/hipster.txt;23313;2021-06-01T09:33:22
6;true;false;../fake-data/blob/hipster.txt;59974;2021-05-31T15:29:42
7;true;false;../fake-data/blob/hipster.txt;70324;2021-05-31T14:31:39
8;false;true;../fake-data/blob/hipster.txt;47765;2021-05-31T19:36:19
9;true;false;../fake-data/blob/hipster.txt;74355;2021-06-01T09:13:11
10;false;false;../fake-data/blob/hipster.txt;98159;2021-06-01T08:50:14
