id;descricao;titulo;estagio;salario;beneficios;jornada_semanal;banner_url;fonte;link_recrutamento;ativo;preenchida;criado;prazo_anuncio
1;../fake-data/blob/hipster.txt;index;false;52128;15641;85343;copy;mão Strategist;Global;true;false;2021-05-31T20:30:15;2021-06-01T05:58:59
2;../fake-data/blob/hipster.txt;Paraná Applications;true;57864;53162;74129;Iraqi 9(E.U.A.-9);invoice;regional Jamaica cobre;true;false;2021-05-31T14:11:33;2021-06-01T06:11:18
3;../fake-data/blob/hipster.txt;Algodão Omã;false;94667;9169;82909;Savings collaborative;groupware driver Savings;cinza seamless;false;true;2021-05-31T22:07:03;2021-06-01T00:53:08
4;../fake-data/blob/hipster.txt; synthesize engineer;false;15517;3402;44032;fuligem;Eletrônicos Plástico;caramelo;false;true;2021-06-01T04:14:09;2021-05-31T19:16:23
5;../fake-data/blob/hipster.txt;Personal Ceará bypassing;true;93471;92465;16478;Travessa Orchestrator;1080p;proactive Mercearia;true;true;2021-05-31T16:51:46;2021-06-01T01:01:19
6;../fake-data/blob/hipster.txt;Algodão Singapore;true;69242;79362;83278;Paulo parse;parse;SMTP;false;true;2021-05-31T19:39:46;2021-05-31T21:42:10
7;../fake-data/blob/hipster.txt;Borders Borracha;true;20082;81254;22791;scale;attitude Paraná Mandatory;Sergipe override;false;true;2021-05-31T12:23:30;2021-05-31T16:28:54
8;../fake-data/blob/hipster.txt;Naira;false;78136;16285;24747;Metal jade generating;index engage Platinum;content Luvas;true;true;2021-06-01T01:55:04;2021-06-01T08:34:03
9;../fake-data/blob/hipster.txt;SMS dynamic Tactics;false;34769;31679;3600;sexy Santa Rústico;index;Travessa fuligem;false;false;2021-06-01T05:58:34;2021-05-31T18:46:10
10;../fake-data/blob/hipster.txt;Avenida clear-thinking Division;false;59233;17611;89527;policy e-business Carro;Chapéu Togo Sabonete;platforms Loan;true;true;2021-05-31T20:16:19;2021-05-31T17:24:42
